               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 135,            0.028715,            0.028242,           0.0040404,             0.68444,              0.6768,             0.64214,             0.27043,            0.050092,            0.031854,            0.020775,            0.003367,            0.003367,            0.003367
                 136,            0.029517,            0.029248,           0.0041803,             0.70126,             0.65593,             0.64273,             0.27069,            0.049227,            0.031499,            0.020985,           0.0033175,           0.0033175,           0.0033175
                 137,            0.030376,            0.028867,           0.0044588,              0.7445,              0.6314,             0.63266,             0.27079,            0.049511,            0.031899,             0.02071,            0.003268,            0.003268,            0.003268
                 138,            0.029176,            0.029091,           0.0043618,             0.70806,             0.65678,             0.63679,             0.26559,            0.049738,            0.032144,            0.021545,           0.0032185,           0.0032185,           0.0032185
                 139,            0.028975,            0.029216,           0.0039069,             0.70222,             0.65805,             0.64497,             0.27311,            0.049586,            0.031396,            0.021744,            0.003169,            0.003169,            0.003169
                 140,            0.029915,             0.03084,           0.0043525,             0.72638,             0.67921,              0.6576,             0.27684,            0.049873,            0.030835,            0.021927,           0.0031195,           0.0031195,           0.0031195
                 141,            0.028527,            0.027976,           0.0040789,             0.75162,             0.63083,             0.63181,             0.25824,            0.050465,            0.031158,            0.021957,             0.00307,             0.00307,             0.00307
                 142,            0.028982,            0.028021,            0.004032,             0.67792,             0.67384,             0.63279,             0.26093,            0.049594,            0.031383,             0.02063,           0.0030205,           0.0030205,           0.0030205
                 143,            0.029526,            0.029098,           0.0045465,             0.71645,             0.62137,             0.61315,              0.2469,            0.050314,            0.032086,             0.02322,            0.002971,            0.002971,            0.002971
                 144,             0.02922,            0.029449,           0.0044778,              0.6656,             0.63706,             0.60681,             0.24481,            0.049518,            0.031931,            0.020554,           0.0029215,           0.0029215,           0.0029215
                 145,            0.028557,             0.02817,           0.0040389,             0.69968,             0.62261,             0.63251,             0.27357,            0.049935,            0.032653,            0.020107,            0.002872,            0.002872,            0.002872
                 146,            0.028884,            0.029588,            0.003934,             0.66918,             0.67849,             0.65386,             0.28404,             0.04942,            0.032634,            0.019333,           0.0028225,           0.0028225,           0.0028225
                 147,            0.028758,            0.028066,           0.0041454,              0.6766,             0.69756,             0.67673,             0.29094,            0.049332,            0.032647,            0.019335,            0.002773,            0.002773,            0.002773
