               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.046303,            0.040965,            0.010183,             0.61243,             0.63506,             0.61139,             0.25617,            0.049444,            0.025314,            0.017994,           0.0076735,           0.0076735,           0.0076735
                  49,            0.046787,            0.041197,            0.010334,             0.63548,             0.65223,             0.61577,             0.26432,            0.049045,            0.025152,            0.017895,            0.007624,            0.007624,            0.007624
                  50,            0.047021,            0.042019,            0.010327,             0.66854,             0.63174,             0.65933,             0.27291,            0.047878,            0.024453,            0.015568,           0.0075745,           0.0075745,           0.0075745
                  51,            0.044472,            0.040211,           0.0099226,             0.64171,             0.65998,             0.61355,             0.25005,            0.050277,            0.025143,            0.017445,            0.007525,            0.007525,            0.007525
                  52,            0.046471,            0.039975,             0.00984,             0.65696,              0.6323,             0.62766,             0.25927,            0.048953,            0.024527,            0.019531,           0.0074755,           0.0074755,           0.0074755
                  53,            0.044731,            0.041128,           0.0094914,             0.63712,             0.60104,             0.59565,             0.25104,            0.048968,            0.025478,            0.018486,            0.007426,            0.007426,            0.007426
                  54,            0.045264,            0.041244,           0.0096712,             0.64719,             0.57844,             0.56434,             0.24105,            0.048739,            0.026335,            0.018133,           0.0073765,           0.0073765,           0.0073765
                  55,            0.046401,            0.041988,            0.009503,              0.6757,             0.63057,             0.60786,             0.25079,             0.04911,            0.026039,            0.014956,            0.007327,            0.007327,            0.007327
                  56,            0.044935,            0.039313,           0.0098807,             0.62955,             0.66346,             0.62309,             0.26326,            0.048281,            0.025114,            0.015896,           0.0072775,           0.0072775,           0.0072775
                  57,            0.044974,            0.041917,           0.0091405,             0.60801,              0.6689,             0.61911,             0.24801,            0.049804,            0.025568,            0.016212,            0.007228,            0.007228,            0.007228
                  58,            0.044527,            0.039594,           0.0092763,             0.66104,             0.57718,             0.59085,             0.23713,            0.049718,            0.025807,            0.016169,           0.0071785,           0.0071785,           0.0071785
